domain	module	docPath	entryPath	moduleEnv	exportName	exportType	params	returns	exportEnv	sideEffects	notes
analyzer	ASTParser	docs/当前文档/模块文档/analyzer/ASTParser.md	AD21_JS_Project/analyzer/ast/parser.js	Node	ASTParser	Object	-	-	Node	读文件	模块导出对象
analyzer	ASTParser	docs/当前文档/模块文档/analyzer/ASTParser.md	AD21_JS_Project/analyzer/ast/parser.js	Node	parseFile	Function	filePath:string	Object	Node	读文件	返回 {success,ast,source,size} 或 {success:false,error,line,column}
analyzer	ASTParser	docs/当前文档/模块文档/analyzer/ASTParser.md	AD21_JS_Project/analyzer/ast/parser.js	Node	parseFiles	Function	filePaths:Array	Object	Node	读文件	批量解析并汇总 successCount/errorCount
analyzer	ASTParser	docs/当前文档/模块文档/analyzer/ASTParser.md	AD21_JS_Project/analyzer/ast/parser.js	Node	validateAST	Function	ast:Object	Object	Node	无	返回 {valid:boolean,issues:Array}
analyzer	ASTParser	docs/当前文档/模块文档/analyzer/ASTParser.md	AD21_JS_Project/analyzer/ast/parser.js	Node	getFileInfo	Function	filePath:string	Object	Node	读文件	返回 {filePath,exists,size,ext}（关键词：getFileInfo）
analyzer	ASTParser	docs/当前文档/模块文档/analyzer/ASTParser.md	AD21_JS_Project/analyzer/ast/parser.js	Node	formatParseError	Function	parseResult:Object	string	Node	无	将解析失败结果格式化为文本
analyzer	ActionPlanner	docs/当前文档/模块文档/analyzer/ActionPlanner.md	AD21_JS_Project/analyzer/execution/action-planner.js	Node	ActionPlanner	Object	-	-	Node	console输出	主导出对象（module.exports）
analyzer	ActionPlanner	docs/当前文档/模块文档/analyzer/ActionPlanner.md	AD21_JS_Project/analyzer/execution/action-planner.js	Node	ActionPlanner.createPlan	Function	interpretationResult:Object, options?:Object	ExecutionPlan	Node	console输出	核心：Actions→Steps + 风险汇总 + validateExecutionPlan
analyzer	ActionPlanner	docs/当前文档/模块文档/analyzer/ActionPlanner.md	AD21_JS_Project/analyzer/execution/action-planner.js	Node	ActionPlanner.simulatePlan	Function	plan:ExecutionPlan	simulation:Object	Node	console输出	逐步骤估算耗时/潜在问题/影响范围
analyzer	ActionPlanner	docs/当前文档/模块文档/analyzer/ActionPlanner.md	AD21_JS_Project/analyzer/execution/action-planner.js	Node	ActionPlanner.getPlanStatistics	Function	plan:ExecutionPlan	stats:Object	Node	无	从 plan.statistics/riskSummary 派生视图
